Timestamp,Title,Location,Remote?,Org Size,Salary,Years of experience,Industry,Additional comments,Additional perks?
9/9/2020 22:17:07,Head of <redacted> technologies,"St. Paul, Minnesota",No,51 - 500,"US$165,000",,,,
9/20/2020 12:19:13,Senior Software Engineer,Porto Alegre/RS - Brazil,No,> 5000,US$ 18400 / year,17,Mediatech ,,
9/19/2020 18:50:46,Senior Site Reliability Engineer,"Toronto, Ontario",No,501 - 1000,"CAD $174,000 ",21,Software/SaaS,,"Options, hiring bonus, stock purchase plan, annual bonuses"
9/9/2020 20:25:55,Software Engineer,"Chantilly, VA",No,> 5000,98000,,,,
9/19/2020 21:01:23,Web Developer,"Canberra, ACT",Yes,11- 50,"$97,294",13,Marketing,The tech industry does exist outside of the US too,No
9/20/2020 8:18:17,Front end software engineer,"Detroit, MI",No,> 5000,"97,000",4,Automotive,,No
9/9/2020 20:09:49,Quality Assurance Engineer,Washington DC,Yes,501 - 1000,"96,500",,,,
9/14/2020 17:48:06,Business Analyst ,"Arlington, VA",No,51 - 500,"96,000",,,,
9/19/2020 21:07:46,Senior Frontend Developer,Chicago,Yes,51 - 500,"96,000",5,Salesforce consultancy so clients are in many different industries,,10% annually
9/9/2020 17:14:14,Support Manager,"Washington, DC",No,11- 50,95000,,,,
9/9/2020 18:34:28,Chemical Engineer,"Kansas City, MO",No,> 5000,95000,,,,
9/9/2020 22:10:49,Web Developer,Washington DC,No,51 - 500,95000,,,,
9/19/2020 18:13:07,Senior Software Engineer,"chicago, il",Yes,0 - 10,95000,8,saas forecasting,I feel like I'm always underpaid because I'm black,~5000 bonus based on company performance
9/10/2020 7:42:14,Program Adviser (Fed Government),"Washington, DC ",Yes,51 - 500,"$94,500",,,,
9/10/2020 9:24:28,Content Marketing Manager,Washington DC,Yes,51 - 500,"$93,000",,,,
9/20/2020 12:37:18,Mobile Engineer,"Minneapolis, Minnesota",No,> 5000,"$93,000",2,Life Insurance,,7.5% annual bonus
9/19/2020 11:04:34,Software Engineer,"Des Moines, IA",No,51 - 500,92k,9,Financial Services ,,Options vested over 4 years. No bonuses 
9/20/2020 2:31:19,Software Engineer III,"Lincoln, NE",No,501 - 1000,92500,10,E-commerce,,No
9/10/2020 11:03:03,Software Engineer - L2,"St. Paul, MN",Yes,51 - 500,92000,,,,
9/10/2020 11:09:22,Associate Software Engineer,"Los Angeles, CA",Yes,> 5000,"92,000",,,,
9/12/2020 12:23:35,Data Scientist,DC ,No,501 - 1000,"92,000 (also this survey really should include Company Type / Industry) it varies from Nonprofit to like Fortune 500 companies",,,,
9/10/2020 19:15:56,Cloud Data Engineer,"Sydney, Australia",Yes,51 - 500,90000AUD,,,,
9/8/2020 22:39:03,Designer,"Washington, DC",Yes,51 - 500,"90,000",,,,
9/9/2020 10:06:32,UX researcher,Ottawa,Yes,1001 - 5000,90000,,,,
9/10/2020 9:50:56,Content Strategist,"Menlo Park, CA",No,1001 - 5000,"90,000",,,,
9/11/2020 11:00:03,Data analyst,"Seattle, WA",No,51 - 500,"90,000",,,,
9/19/2020 11:24:59,Tech lead,"London, uk",No,51 - 500,90000,15,Banking,,Stocks
9/19/2020 19:38:20,Software Engineer,New York City,Yes,51 - 500,"90,000",1,Retail Furniture,,
9/10/2020 19:21:50,Principal Agile Tester,Munich (Germany),No,1001 - 5000,"88,852.20€",,,,
9/19/2020 11:31:40,Developer,"Sacramento, CA",No,11- 50,88,3,Sales acceleration,"10 years in “tech”, but only three doing dev. Only been a full time dev the past year and a half. ",$2000 bonus
9/20/2020 16:34:21,Junior Software Developer,"Boulder, CO",No,11- 50,87k,3,Business Software ,"3 years as a dev, I did tech support previously for 2 years in college ",Bonus up to 15% of salary
9/20/2020 10:49:24,Developer II,"Bentonville, AR",No,11- 50,87000,3,Logistics,,
9/8/2020 23:46:18,Applied Data Scientist,Chicago IL,Yes,51 - 500,86000,,,,
9/20/2020 8:44:42,SWE Intern,"New Delhi, India",Yes,> 5000,860 dollars per month ,0,"Software, Hardware, Services ",Underpaid. ,0
9/19/2020 15:34:26,Junior Software Engineer ,"Alexandria, VA",No,1001 - 5000,85k,3,Government consulting,,NA
9/9/2020 0:19:10,Software Development Engineer,"Chicago, IL",No,1001 - 5000,85000,,,,
9/9/2020 15:29:39,Senior Consultant,Arlington VA,Yes,51 - 500,"85,000",,,,
9/9/2020 15:38:42,Senior Consultant,Arlington VA,Yes,51 - 500,"85,000",,,,
9/9/2020 15:42:59,Senior Consultant,Arlington VA,Yes,51 - 500,"85,000",,,,
9/16/2020 17:52:24,Media Software Engineer,N/A - Remote,Yes,> 5000,"85,000",,,,
9/19/2020 11:45:25,Software Engineer,"New York, New York",No,> 5000,85000,1,Finance,,No
9/19/2020 12:11:32,Software Engineer ,"Oklahoma City, OK",No,> 5000,85000,1.5,Commerce / ERP,,0
9/19/2020 14:18:00,Technology Development Program (AT&T),"Atlanta,GA",No,> 5000,"85,000",2,Tech & communications ,,"11,000 in possible bonuses "
