,date,tmp0,title,tmp,tmp2,location,tmp23,tmp3,tmp34,tmp4,org_size,org_size_bucket,salary,tmp5,tmp6,experience,tmp7,tmp8,industry,tmp9,comments,tmp10,title_categories
0,9/9/2020 22:17:07,Title:,Head of <redacted> technologies,Title:Head of <redacted> technologies,Where:,st paul,"Where:St. Paul, Minnesota",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,165000.0,"Salary:US$165,000",Experience:,,,,,,,,Management and Leadership
1,9/20/2020 12:19:13,Title:,Senior Software Engineer,Title:Senior Software Engineer,Where:,porto alegrers  brazil,Where:Porto Alegre/RS - Brazil,No,Org Size:,> 5000,Org Size:> 5000,Salary:,18400.0,Salary:US$ 18400 / year,Experience:,17.0,Experience:17,Industry:,Mediatech,Industry:Mediatech,,,General Engineering
2,9/19/2020 18:50:46,Title:,Senior Site Reliability Engineer,Title:Senior Site Reliability Engineer,Where:,toronto,Where:Toronto,No,Org Size:,501 - 1000,Org Size:501 - 1000,Salary:,174000.0,"Salary:CAD $174,000",Experience:,21.0,Experience:21,Industry:,Software/SaaS,Industry:Software/SaaS,,"Options, hiring bonus, stock purchase plan, annual bonuses",General Engineering
3,9/9/2020 20:25:55,Title:,Software Engineer,Title:Software Engineer,Where:,chantilly,"Where:Chantilly, VA",No,Org Size:,> 5000,Org Size:> 5000,Salary:,98000.0,Salary:98000,Experience:,,,,,,,,General Engineering
4,9/19/2020 21:01:23,Title:,Web Developer,Title:Web Developer,Where:,canberra,"Where:Canberra, ACT",Yes,Org Size:,11- 50,Org Size:11- 50,Salary:,97294.0,Salary:97294,Experience:,13.0,Experience:13,Industry:,Marketing,Industry:Marketing,The tech industry does exist outside of the US too,No,Full Stack
5,9/20/2020 8:18:17,Title:,Front end software engineer,Title:Front end software engineer,Where:,detroit,"Where:Detroit, MI",No,Org Size:,> 5000,Org Size:> 5000,Salary:,97000.0,Salary:97000,Experience:,4.0,Experience:4,Industry:,Automotive,Industry:Automotive,,No,Front End
6,9/9/2020 20:09:49,Title:,Quality Assurance Engineer,Title:Quality Assurance Engineer,Where:,washington dc,Where:Washington DC,Yes,Org Size:,501 - 1000,Org Size:501 - 1000,Salary:,96500.0,Salary:96500,Experience:,,,,,,,,QA and Testing
7,9/14/2020 17:48:06,Title:,Business Analyst,Title:Business Analyst,Where:,arlington,"Where:Arlington, VA",No,Org Size:,51 - 500,Org Size:51 - 500,Salary:,96000.0,Salary:96000,Experience:,,,,,,,,Unknown
8,9/19/2020 21:07:46,Title:,Senior Frontend Developer,Title:Senior Frontend Developer,Where:,chicago,Where:Chicago,Yes,Org Size:,51 - 500,Org Size:51 - 500,Salary:,96000.0,Salary:96000,Experience:,5.0,Experience:5,Industry:,Salesforce consultancy so clients are in many different industries,Industry:Salesforce consultancy so clients are in many different industries,,10% annually,Front End
9,9/9/2020 17:14:14,Title:,Support Manager,Title:Support Manager,Where:,washington,"Where:Washington, DC",No,Org Size:,11- 50,Org Size:11- 50,Salary:,95000.0,Salary:95000,Experience:,,,,,,,,Management and Leadership
